n,m,sigma,eps,algo_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
1000000,200000,1000,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,21.6724,21.6505,21.7232,0.0227128,0.0237602,0.024921
1000000,200000,1000,0.2,0,"Brute force",3,14.3647,14.3629,14.4007,0,0,0
1000000,200000,1000,0.2,1,"Projection to 2/eps alphabet",3,6.05055,6.03603,6.08178,0.0991809,0.0991674,0.0993545
1000000,200000,1000,0.2,2,"Sqrt",3,0.074704,0.0748107,0.0755532,0,0,0
1000000,200000,1000,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,5.49036,5.47783,5.55238,0.0967073,0.0964457,0.098687
1000000,200000,1000,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,5.68644,5.65506,5.75464,0.0931461,0.0976988,0.0983506
1000000,200000,1000,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,5.51222,5.5125,5.51579,0.0996867,0.0999735,0.100017
1000000,200000,1000,0.5,0,"Brute force",3,14.5215,14.5885,14.6613,0,0,0
1000000,200000,1000,0.5,1,"Projection to 2/eps alphabet",3,2.4555,2.43731,2.49216,0.249729,0.24953,0.250316
1000000,200000,1000,0.5,2,"Sqrt",3,0.0756123,0.0756454,0.0770178,0,0,0
1000000,200000,1000,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,2.20941,2.21207,2.21291,0.247517,0.248294,0.248589
1000000,200000,1000,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,2.40305,2.39555,2.4268,0.246527,0.246751,0.247019
1000000,200000,1000,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,2.21476,2.21709,2.2208,0.249541,0.249293,0.250884
