n,m,sigma,eps,algo_id,algo_name,rounds,avg_time,avg_ratio,max_ratio
10000,2000,1000,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0756622,0.0271758,0.0275138
10000,2000,1000,0.1,0,"Brute Force",3,0.00093007,0,0
10000,2000,1000,0.1,1,"Projection to Binary Alphabet",3,0.0445083,0.0520695,0.0530796
10000,2000,1000,0.1,2,"Sqrt",3,4.95697e-05,0,0
10000,2000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0379602,0.0530354,0.0535268
10000,2000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0383787,0.0533687,0.0545273
10000,2000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0381527,0.0528681,0.054
10000,2000,1000,0.2,0,"Brute Force",3,0.000937181,0,0
10000,2000,1000,0.2,1,"Projection to Binary Alphabet",3,0.0225233,0.103385,0.104
10000,2000,1000,0.2,2,"Sqrt",3,4.94443e-05,0,0
10000,2000,1000,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0190549,0.104472,0.106553
10000,2000,1000,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0195728,0.104674,0.105158
10000,2000,1000,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.030555,0.10384,0.105263
10000,2000,1000,0.5,0,"Brute Force",3,0.000916472,0,0
10000,2000,1000,0.5,1,"Projection to Binary Alphabet",3,0.00912297,0.25538,0.255884
10000,2000,1000,0.5,2,"Sqrt",3,5.132e-05,0,0
10000,2000,1000,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00769117,0.256628,0.261022
10000,2000,1000,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00847524,0.257547,0.2595
10000,2000,1000,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00779822,0.257547,0.258629
10000,5000,1000,0.05,0,"Brute Force",3,0.00143222,0,0
10000,5000,1000,0.05,1,"Projection to Binary Alphabet",3,0.0902744,0.0251468,0.0254203
10000,5000,1000,0.05,2,"Sqrt",3,7.45e-05,0,0
10000,5000,1000,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0770572,0.0254424,0.0258362
10000,5000,1000,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0769848,0.0256239,0.026026
10000,5000,1000,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0773855,0.025831,0.0260208
10000,5000,1000,0.1,0,"Brute Force",3,0.00142486,0,0
10000,5000,1000,0.1,1,"Projection to Binary Alphabet",3,0.0458764,0.0510476,0.0512513
10000,5000,1000,0.1,2,"Sqrt",3,7.6139e-05,0,0
10000,5000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.038953,0.0511383,0.051693
10000,5000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0393078,0.0515217,0.0520625
10000,5000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0385861,0.0513914,0.0520416
10000,5000,1000,0.2,0,"Brute Force",3,0.00145265,0,0
10000,5000,1000,0.2,1,"Projection to Binary Alphabet",3,0.0225772,0.101628,0.102163
10000,5000,1000,0.2,2,"Sqrt",3,7.24027e-05,0,0
10000,5000,1000,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0194635,0.102222,0.103386
10000,5000,1000,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0199451,0.102455,0.102703
10000,5000,1000,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0194238,0.102595,0.103662
10000,5000,1000,0.5,0,"Brute Force",3,0.00142896,0,0
10000,5000,1000,0.5,1,"Projection to Binary Alphabet",3,0.00921839,0.253204,0.253806
10000,5000,1000,0.5,2,"Sqrt",3,7.20277e-05,0,0
10000,5000,1000,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0079011,0.253988,0.255507
10000,5000,1000,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00854399,0.253421,0.254356
10000,5000,1000,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00796125,0.253888,0.255004
100000,5000,10,0.05,0,"Brute Force",3,0.0269692,0,0
100000,5000,10,0.05,1,"Projection to Binary Alphabet",3,0.254032,0,0
100000,5000,10,0.05,2,"Sqrt",3,0.0300179,0,0
100000,5000,10,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.257105,0,0
100000,5000,10,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.266391,0,0
100000,5000,10,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.260608,0,0
100000,5000,10,0.1,0,"Brute Force",3,0.0271798,0,0
100000,5000,10,0.1,1,"Projection to Binary Alphabet",3,0.257999,0,0
100000,5000,10,0.1,2,"Sqrt",3,0.0301187,0,0
100000,5000,10,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.269833,0.00824788,0.0247436
100000,5000,10,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.270352,0,0
